# k, phh, phm/ 
9.4287e-01 1.0393e+03 2.0599e+02
9.4696e-01 1.0397e+03 2.0589e+02
9.5105e-01 1.0356e+03 2.0493e+02
9.5515e-01 1.0324e+03 2.0372e+02
9.5924e-01 1.0307e+03 2.0273e+02
9.6333e-01 1.0279e+03 2.0153e+02
9.6742e-01 1.0261e+03 2.0145e+02
9.7151e-01 1.0258e+03 2.0057e+02
9.7559e-01 1.0207e+03 1.9897e+02
9.7968e-01 1.0219e+03 1.9840e+02
9.8377e-01 1.0161e+03 1.9691e+02
9.8787e-01 1.0138e+03 1.9623e+02
9.9196e-01 1.0097e+03 1.9517e+02
9.9605e-01 1.0101e+03 1.9506e+02
1.0002e+00 1.0116e+03 1.9443e+02
1.0042e+00 1.0041e+03 1.9271e+02
1.0083e+00 1.0016e+03 1.9203e+02
1.0124e+00 1.0020e+03 1.9139e+02
1.0165e+00 9.9912e+02 1.8996e+02
1.0206e+00 9.9950e+02 1.8990e+02
1.0247e+00 9.9275e+02 1.8865e+02
1.0288e+00 9.9263e+02 1.8758e+02
1.0329e+00 9.8779e+02 1.8647e+02
1.0370e+00 9.8743e+02 1.8629e+02
1.0410e+00 9.8546e+02 1.8520e+02
1.0451e+00 9.8300e+02 1.8443e+02
1.0492e+00 9.8167e+02 1.8407e+02
1.0533e+00 9.8132e+02 1.8342e+02
1.0574e+00 9.7760e+02 1.8234e+02
1.0615e+00 9.7447e+02 1.8136e+02
1.0656e+00 9.7382e+02 1.8068e+02
1.0697e+00 9.7168e+02 1.8006e+02
1.0738e+00 9.6873e+02 1.7908e+02
1.0779e+00 9.6622e+02 1.7822e+02
1.0820e+00 9.6441e+02 1.7739e+02
1.0860e+00 9.6214e+02 1.7669e+02
1.0901e+00 9.6131e+02 1.7645e+02
1.0942e+00 9.5949e+02 1.7581e+02
1.0983e+00 9.5879e+02 1.7525e+02
1.1024e+00 9.5561e+02 1.7409e+02
1.1065e+00 9.5170e+02 1.7276e+02
1.1106e+00 9.4903e+02 1.7232e+02
1.1147e+00 9.4985e+02 1.7210e+02
1.1188e+00 9.4548e+02 1.7091e+02
1.1229e+00 9.4730e+02 1.7103e+02
1.1270e+00 9.4393e+02 1.6999e+02
1.1310e+00 9.4146e+02 1.6912e+02
1.1351e+00 9.3824e+02 1.6823e+02
1.1392e+00 9.3724e+02 1.6796e+02
1.1433e+00 9.3730e+02 1.6762e+02
1.1474e+00 9.3408e+02 1.6658e+02
1.1515e+00 9.3305e+02 1.6627e+02
1.1556e+00 9.3022e+02 1.6467e+02
1.1597e+00 9.2916e+02 1.6495e+02
1.1638e+00 9.2838e+02 1.6424e+02
1.1679e+00 9.2234e+02 1.6287e+02
1.1719e+00 9.2423e+02 1.6268e+02
1.1760e+00 9.2240e+02 1.6233e+02
1.1801e+00 9.2234e+02 1.6175e+02
1.1842e+00 9.1741e+02 1.6072e+02
1.1883e+00 9.1742e+02 1.6039e+02
1.1924e+00 9.1286e+02 1.5910e+02
1.1965e+00 9.1359e+02 1.5917e+02
1.2006e+00 9.1093e+02 1.5834e+02
1.2047e+00 9.0852e+02 1.5775e+02
1.2088e+00 9.0743e+02 1.5725e+02
1.2129e+00 9.0464e+02 1.5614e+02
1.2169e+00 9.0351e+02 1.5597e+02
1.2210e+00 9.0288e+02 1.5548e+02
1.2251e+00 9.0305e+02 1.5533e+02
1.2292e+00 8.9938e+02 1.5459e+02
1.2333e+00 8.9960e+02 1.5418e+02
1.2374e+00 8.9610e+02 1.5294e+02
1.2415e+00 8.9593e+02 1.5292e+02
1.2456e+00 8.9418e+02 1.5225e+02
1.2497e+00 8.9280e+02 1.5193e+02
