# Galaxy (HOD) auto- and cross-power spectra.
# Robust average of 9 spectra using sqrt(1+x^2).
# z=1.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    4.88790e-01     1.49521e+03     4.11318e+00     4.32522e+02     1.37449e+00
    4.92890e-01     1.48646e+03     4.88848e+00     4.28194e+02     8.57974e-01
    4.96980e-01     1.48175e+03     3.95569e+00     4.24827e+02     5.28058e-01
    5.01070e-01     1.46695e+03     2.34756e+00     4.18726e+02     5.13042e-01
    5.05170e-01     1.45766e+03     1.78322e+00     4.14513e+02     3.62530e-01
    5.09270e-01     1.45054e+03     1.53262e+00     4.10132e+02     7.15110e-01
    5.13370e-01     1.44090e+03     4.86836e+00     4.05552e+02     8.79176e-01
    5.17440e-01     1.43402e+03     2.76693e+00     4.02451e+02     7.52381e-01
    5.21520e-01     1.42684e+03     1.84434e+00     3.98874e+02     1.13395e+00
    5.25610e-01     1.41222e+03     3.99279e+00     3.92810e+02     6.51829e-01
    5.29710e-01     1.40821e+03     4.56052e+00     3.90494e+02     1.02974e+00
    5.33800e-01     1.39530e+03     2.01197e+00     3.85645e+02     3.12577e-01
    5.37890e-01     1.39157e+03     3.29677e+00     3.82697e+02     3.08459e-01
    5.41990e-01     1.38038e+03     9.49284e-01     3.78446e+02     7.97918e-01
    5.46090e-01     1.37258e+03     3.04975e+00     3.74973e+02     4.46678e-01
    5.50170e-01     1.36565e+03     3.35190e+00     3.71190e+02     9.65032e-01
    5.54250e-01     1.36119e+03     1.57966e+00     3.68164e+02     3.54702e-01
    5.58350e-01     1.35115e+03     2.05648e+00     3.63894e+02     3.17805e-01
    5.62440e-01     1.34703e+03     3.51804e+00     3.61172e+02     8.19064e-01
    5.66530e-01     1.33486e+03     2.18045e+00     3.57161e+02     4.98189e-01
    5.70620e-01     1.33081e+03     2.14319e+00     3.54197e+02     5.63946e-01
    5.74710e-01     1.32263e+03     2.79924e+00     3.51018e+02     6.43766e-01
    5.78800e-01     1.31488e+03     3.63384e+00     3.47530e+02     7.73458e-01
    5.82880e-01     1.30755e+03     2.35670e+00     3.44549e+02     5.19578e-01
    5.86980e-01     1.30052e+03     2.89784e+00     3.41395e+02     4.25051e-01
    5.91070e-01     1.29608e+03     2.56748e+00     3.38836e+02     6.36411e-01
    5.95170e-01     1.29091e+03     2.65839e+00     3.35983e+02     6.29268e-01
    5.99260e-01     1.28288e+03     8.37088e-01     3.33148e+02     5.80343e-01
    6.03350e-01     1.27732e+03     2.88612e+00     3.30086e+02     6.75170e-01
    6.07450e-01     1.27115e+03     2.05572e+00     3.27471e+02     5.59869e-01
    6.11540e-01     1.26564e+03     3.52868e+00     3.24258e+02     5.79084e-01
    6.15620e-01     1.25963e+03     2.06864e+00     3.22232e+02     5.20438e-01
    6.19700e-01     1.24975e+03     2.41910e+00     3.18564e+02     3.21498e-01
    6.23790e-01     1.24608e+03     2.95486e+00     3.16696e+02     7.57317e-01
    6.27890e-01     1.23961e+03     3.04083e+00     3.13665e+02     5.08766e-01
    6.31990e-01     1.23535e+03     2.83975e+00     3.11267e+02     6.90984e-01
    6.36070e-01     1.22887e+03     2.85071e+00     3.08658e+02     4.98974e-01
    6.40160e-01     1.22457e+03     4.00381e+00     3.06447e+02     4.33856e-01
    6.44240e-01     1.21995e+03     3.77920e+00     3.04169e+02     5.18354e-01
    6.48340e-01     1.21460e+03     2.89357e+00     3.01910e+02     3.50756e-01
    6.52430e-01     1.20983e+03     2.63467e+00     2.99533e+02     2.92751e-01
    6.56510e-01     1.20367e+03     2.63924e+00     2.97059e+02     5.56593e-01
    6.60610e-01     1.19824e+03     1.76298e+00     2.94785e+02     3.63177e-01
    6.64710e-01     1.19417e+03     3.11822e+00     2.92888e+02     5.47137e-01
    6.68800e-01     1.18839e+03     1.74160e+00     2.90149e+02     5.25228e-01
    6.72890e-01     1.18419e+03     3.69893e+00     2.88244e+02     5.23013e-01
    6.76980e-01     1.17804e+03     1.95482e+00     2.86256e+02     4.54328e-01
    6.81070e-01     1.17588e+03     2.20427e+00     2.84428e+02     4.27621e-01
    6.85160e-01     1.16965e+03     8.24028e-01     2.82163e+02     6.01227e-01
    6.89250e-01     1.16588e+03     1.94881e+00     2.79995e+02     1.60657e-01
    6.93340e-01     1.16061e+03     2.30249e+00     2.77737e+02     2.29229e-01
    6.97430e-01     1.15484e+03     2.20613e+00     2.75899e+02     4.05936e-01
    7.01530e-01     1.15280e+03     1.90007e+00     2.74283e+02     4.16618e-01
    7.05620e-01     1.14618e+03     4.05074e+00     2.71947e+02     7.10971e-01
    7.09710e-01     1.14370e+03     3.05340e+00     2.70478e+02     5.80809e-01
    7.13800e-01     1.13976e+03     1.16856e+00     2.68547e+02     3.61822e-01
    7.17890e-01     1.13618e+03     1.62945e+00     2.66887e+02     1.20819e-01
    7.21980e-01     1.13004e+03     9.83038e-01     2.64613e+02     2.25746e-01
    7.26060e-01     1.12689e+03     1.41293e+00     2.63199e+02     5.67812e-01
    7.30150e-01     1.12299e+03     3.51152e+00     2.61300e+02     4.70430e-01
    7.34240e-01     1.11855e+03     1.90071e+00     2.59788e+02     1.77505e-01
    7.38340e-01     1.11570e+03     3.24793e+00     2.57866e+02     5.22261e-01
    7.42430e-01     1.11080e+03     1.54470e+00     2.56140e+02     4.15667e-01
    7.46510e-01     1.10744e+03     1.86813e+00     2.54663e+02     2.79665e-01
    7.50610e-01     1.10199e+03     2.16497e+00     2.52481e+02     6.40578e-01
    7.54710e-01     1.09720e+03     1.46720e+00     2.50752e+02     3.07932e-01
    7.58790e-01     1.09641e+03     2.10854e+00     2.49759e+02     2.67638e-01
