# k, phh, phm/ 
1.2579e+00 8.2231e+02 1.4093e+02
1.2619e+00 8.2164e+02 1.4064e+02
1.2660e+00 8.1898e+02 1.3999e+02
1.2701e+00 8.1964e+02 1.3974e+02
1.2742e+00 8.1672e+02 1.3896e+02
1.2783e+00 8.1668e+02 1.3884e+02
1.2824e+00 8.1308e+02 1.3782e+02
1.2865e+00 8.1208e+02 1.3727e+02
1.2906e+00 8.1071e+02 1.3706e+02
1.2947e+00 8.1088e+02 1.3685e+02
1.2988e+00 8.0981e+02 1.3614e+02
1.3029e+00 8.0682e+02 1.3572e+02
1.3069e+00 8.0493e+02 1.3500e+02
1.3110e+00 8.0374e+02 1.3451e+02
1.3151e+00 8.0250e+02 1.3396e+02
1.3192e+00 8.0165e+02 1.3369e+02
1.3233e+00 7.9936e+02 1.3288e+02
1.3274e+00 7.9614e+02 1.3238e+02
1.3315e+00 7.9864e+02 1.3248e+02
1.3356e+00 7.9556e+02 1.3164e+02
1.3397e+00 7.9501e+02 1.3120e+02
1.3438e+00 7.9357e+02 1.3078e+02
1.3479e+00 7.8989e+02 1.2977e+02
1.3519e+00 7.9089e+02 1.3031e+02
1.3560e+00 7.9124e+02 1.2997e+02
1.3601e+00 7.8782e+02 1.2924e+02
1.3642e+00 7.8607e+02 1.2856e+02
1.3683e+00 7.8452e+02 1.2807e+02
1.3724e+00 7.8319e+02 1.2770e+02
1.3765e+00 7.8137e+02 1.2729e+02
1.3806e+00 7.8091e+02 1.2699e+02
1.3847e+00 7.7868e+02 1.2612e+02
1.3888e+00 7.7803e+02 1.2602e+02
1.3928e+00 7.7748e+02 1.2575e+02
1.3969e+00 7.7614e+02 1.2528e+02
1.4010e+00 7.7432e+02 1.2461e+02
1.4051e+00 7.7547e+02 1.2463e+02
1.4092e+00 7.7170e+02 1.2400e+02
1.4133e+00 7.7169e+02 1.2374e+02
1.4174e+00 7.6959e+02 1.2320e+02
1.4215e+00 7.6804e+02 1.2272e+02
1.4256e+00 7.6736e+02 1.2240e+02
1.4297e+00 7.6531e+02 1.2187e+02
1.4338e+00 7.6502e+02 1.2145e+02
1.4378e+00 7.6164e+02 1.2092e+02
1.4419e+00 7.6370e+02 1.2108e+02
1.4460e+00 7.6023e+02 1.2039e+02
1.4501e+00 7.5947e+02 1.2001e+02
1.4542e+00 7.5740e+02 1.1931e+02
1.4583e+00 7.5716e+02 1.1923e+02
1.4624e+00 7.5695e+02 1.1903e+02
1.4665e+00 7.5396e+02 1.1835e+02
1.4706e+00 7.5361e+02 1.1815e+02
1.4747e+00 7.5143e+02 1.1783e+02
1.4787e+00 7.5152e+02 1.1747e+02
1.4828e+00 7.4917e+02 1.1667e+02
1.4869e+00 7.4817e+02 1.1628e+02
1.4910e+00 7.4744e+02 1.1618e+02
1.4951e+00 7.4636e+02 1.1585e+02
1.4992e+00 7.4451e+02 1.1548e+02
1.5033e+00 7.4338e+02 1.1500e+02
1.5074e+00 7.4193e+02 1.1458e+02
1.5115e+00 7.4107e+02 1.1424e+02
1.5156e+00 7.4021e+02 1.1400e+02
1.5197e+00 7.3897e+02 1.1351e+02
1.5237e+00 7.3750e+02 1.1298e+02
1.5278e+00 7.3676e+02 1.1292e+02
1.5319e+00 7.3619e+02 1.1245e+02
1.5360e+00 7.3484e+02 1.1216e+02
1.5401e+00 7.3231e+02 1.1164e+02
1.5442e+00 7.3143e+02 1.1147e+02
1.5483e+00 7.2902e+02 1.1077e+02
1.5524e+00 7.2951e+02 1.1070e+02
1.5565e+00 7.2845e+02 1.1048e+02
1.5606e+00 7.2709e+02 1.1007e+02
1.5646e+00 7.2619e+02 1.0973e+02
1.5687e+00 7.2580e+02 1.0960e+02
1.5728e+00 7.2312e+02 1.0912e+02
1.5769e+00 7.2446e+02 1.0898e+02
1.5810e+00 7.2114e+02 1.0818e+02
1.5851e+00 7.2057e+02 1.0802e+02
1.5892e+00 7.1905e+02 1.0756e+02
1.5933e+00 7.1857e+02 1.0745e+02
1.5974e+00 7.1795e+02 1.0719e+02
1.6015e+00 7.1572e+02 1.0666e+02
1.6056e+00 7.1346e+02 1.0617e+02
1.6096e+00 7.1323e+02 1.0610e+02
1.6137e+00 7.1167e+02 1.0549e+02
1.6178e+00 7.1172e+02 1.0540e+02
1.6219e+00 7.0998e+02 1.0492e+02
1.6260e+00 7.1013e+02 1.0477e+02
1.6301e+00 7.0637e+02 1.0420e+02
1.6342e+00 7.0674e+02 1.0399e+02
1.6383e+00 7.0570e+02 1.0375e+02
1.6424e+00 7.0451e+02 1.0329e+02
1.6465e+00 7.0289e+02 1.0304e+02
1.6506e+00 7.0134e+02 1.0253e+02
1.6546e+00 7.0048e+02 1.0226e+02
1.6587e+00 7.0092e+02 1.0222e+02
1.6628e+00 6.9866e+02 1.0178e+02
1.6669e+00 6.9857e+02 1.0156e+02
1.6710e+00 6.9750e+02 1.0140e+02
1.6751e+00 6.9549e+02 1.0082e+02
1.6792e+00 6.9318e+02 1.0038e+02
1.6833e+00 6.9451e+02 1.0036e+02
1.6874e+00 6.9256e+02 9.9784e+01
1.6915e+00 6.9171e+02 9.9714e+01
1.6955e+00 6.9112e+02 9.9404e+01
1.6996e+00 6.8972e+02 9.8974e+01
1.7037e+00 6.8889e+02 9.8842e+01
1.7078e+00 6.8666e+02 9.8351e+01
1.7119e+00 6.8567e+02 9.8248e+01
1.7160e+00 6.8245e+02 9.7562e+01
1.7201e+00 6.8463e+02 9.7560e+01
1.7242e+00 6.8256e+02 9.7163e+01
1.7283e+00 6.8087e+02 9.6822e+01
1.7324e+00 6.7927e+02 9.6351e+01
1.7365e+00 6.7759e+02 9.6196e+01
1.7405e+00 6.7841e+02 9.5969e+01
1.7446e+00 6.7665e+02 9.5633e+01
1.7487e+00 6.7609e+02 9.5331e+01
1.7528e+00 6.7424e+02 9.5091e+01
1.7569e+00 6.7335e+02 9.4840e+01
1.7610e+00 6.7320e+02 9.4541e+01
1.7651e+00 6.7247e+02 9.4457e+01
1.7692e+00 6.6997e+02 9.3803e+01
1.7733e+00 6.6954e+02 9.3648e+01
1.7774e+00 6.6891e+02 9.3519e+01
1.7815e+00 6.6650e+02 9.2882e+01
1.7855e+00 6.6710e+02 9.3020e+01
1.7896e+00 6.6563e+02 9.2691e+01
1.7937e+00 6.6385e+02 9.2316e+01
1.7978e+00 6.6317e+02 9.1910e+01
1.8019e+00 6.6207e+02 9.1723e+01
1.8060e+00 6.6108e+02 9.1403e+01
1.8101e+00 6.5981e+02 9.1210e+01
1.8142e+00 6.6011e+02 9.1078e+01
1.8183e+00 6.5829e+02 9.0752e+01
1.8224e+00 6.5735e+02 9.0386e+01
1.8265e+00 6.5615e+02 9.0007e+01
1.8305e+00 6.5422e+02 8.9793e+01
