# k, phh, phm/ 
7.1789e-01 1.0036e+03 5.3909e+02
7.2198e-01 9.9920e+02 5.3443e+02
7.2606e-01 9.9421e+02 5.3120e+02
7.3015e-01 9.9169e+02 5.3043e+02
7.3424e-01 9.9085e+02 5.2608e+02
7.3834e-01 9.8653e+02 5.2317e+02
7.4243e-01 9.8303e+02 5.2239e+02
7.4651e-01 9.7868e+02 5.1721e+02
7.5061e-01 9.7864e+02 5.1741e+02
7.5471e-01 9.7091e+02 5.1145e+02
7.5879e-01 9.7063e+02 5.1063e+02
7.6289e-01 9.6511e+02 5.0632e+02
7.6699e-01 9.6191e+02 5.0290e+02
7.7107e-01 9.6182e+02 5.0264e+02
7.7515e-01 9.5566e+02 4.9870e+02
7.7924e-01 9.5020e+02 4.9604e+02
7.8334e-01 9.5358e+02 4.9587e+02
7.8743e-01 9.4818e+02 4.9209e+02
7.9151e-01 9.4283e+02 4.8846e+02
7.9561e-01 9.4331e+02 4.8781e+02
7.9970e-01 9.4056e+02 4.8476e+02
8.0380e-01 9.3406e+02 4.7999e+02
8.0788e-01 9.3419e+02 4.7999e+02
8.1196e-01 9.3175e+02 4.7812e+02
8.1606e-01 9.2870e+02 4.7380e+02
8.2015e-01 9.2624e+02 4.7373e+02
8.2424e-01 9.2413e+02 4.7038e+02
8.2833e-01 9.1862e+02 4.6737e+02
8.3243e-01 9.1811e+02 4.6573e+02
8.3652e-01 9.1672e+02 4.6444e+02
8.4061e-01 9.1239e+02 4.6063e+02
8.4470e-01 9.0840e+02 4.5822e+02
8.4879e-01 9.0641e+02 4.5694e+02
8.5288e-01 9.0736e+02 4.5629e+02
8.5697e-01 9.0172e+02 4.5258e+02
8.6106e-01 9.0059e+02 4.5153e+02
8.6515e-01 8.9706e+02 4.4846e+02
8.6923e-01 8.9816e+02 4.4790e+02
8.7333e-01 8.9300e+02 4.4496e+02
8.7743e-01 8.9108e+02 4.4244e+02
8.8151e-01 8.8926e+02 4.4096e+02
8.8560e-01 8.8460e+02 4.3754e+02
8.8969e-01 8.8630e+02 4.3823e+02
8.9378e-01 8.8223e+02 4.3509e+02
8.9788e-01 8.8131e+02 4.3398e+02
9.0196e-01 8.7910e+02 4.3147e+02
9.0605e-01 8.7407e+02 4.2830e+02
9.1015e-01 8.7148e+02 4.2611e+02
9.1424e-01 8.7407e+02 4.2695e+02
9.1833e-01 8.6871e+02 4.2328e+02
9.2242e-01 8.6737e+02 4.2274e+02
9.2651e-01 8.6447e+02 4.1998e+02
9.3060e-01 8.6332e+02 4.1813e+02
9.3469e-01 8.6337e+02 4.1712e+02
9.3879e-01 8.5827e+02 4.1340e+02
9.4287e-01 8.5873e+02 4.1371e+02
9.4696e-01 8.5581e+02 4.1196e+02
9.5105e-01 8.5223e+02 4.0913e+02
9.5515e-01 8.5110e+02 4.0771e+02
9.5924e-01 8.5325e+02 4.0700e+02
9.6333e-01 8.4786e+02 4.0467e+02
9.6742e-01 8.4574e+02 4.0274e+02
9.7151e-01 8.4219e+02 3.9989e+02
9.7559e-01 8.4232e+02 3.9955e+02
9.7968e-01 8.4184e+02 3.9844e+02
9.8377e-01 8.3788e+02 3.9612e+02
9.8787e-01 8.3604e+02 3.9497e+02
9.9196e-01 8.3431e+02 3.9290e+02
9.9605e-01 8.3232e+02 3.9049e+02
1.0002e+00 8.3257e+02 3.9063e+02
1.0042e+00 8.2788e+02 3.8701e+02
1.0083e+00 8.2788e+02 3.8667e+02
1.0124e+00 8.2683e+02 3.8580e+02
1.0165e+00 8.2335e+02 3.8341e+02
1.0206e+00 8.2294e+02 3.8168e+02
1.0247e+00 8.2100e+02 3.8087e+02
1.0288e+00 8.1949e+02 3.7877e+02
1.0329e+00 8.1753e+02 3.7749e+02
1.0370e+00 8.1601e+02 3.7627e+02
1.0410e+00 8.1565e+02 3.7515e+02
1.0451e+00 8.1163e+02 3.7224e+02
1.0492e+00 8.1146e+02 3.7168e+02
1.0533e+00 8.0803e+02 3.6918e+02
1.0574e+00 8.0532e+02 3.6867e+02
1.0615e+00 8.0616e+02 3.6715e+02
1.0656e+00 8.0326e+02 3.6546e+02
1.0697e+00 8.0476e+02 3.6539e+02
1.0738e+00 8.0299e+02 3.6401e+02
1.0779e+00 8.0019e+02 3.6170e+02
1.0820e+00 7.9947e+02 3.6088e+02
1.0860e+00 7.9814e+02 3.5957e+02
1.0901e+00 7.9652e+02 3.5805e+02
1.0942e+00 7.9224e+02 3.5455e+02
1.0983e+00 7.8936e+02 3.5356e+02
1.1024e+00 7.9136e+02 3.5342e+02
1.1065e+00 7.8800e+02 3.5117e+02
1.1106e+00 7.8545e+02 3.4966e+02
1.1147e+00 7.8565e+02 3.4926e+02
1.1188e+00 7.8557e+02 3.4843e+02
1.1229e+00 7.8297e+02 3.4657e+02
1.1270e+00 7.8090e+02 3.4486e+02
1.1310e+00 7.8258e+02 3.4506e+02
1.1351e+00 7.7987e+02 3.4354e+02
1.1392e+00 7.7705e+02 3.4149e+02
1.1433e+00 7.7579e+02 3.4048e+02
1.1474e+00 7.7558e+02 3.3905e+02
1.1515e+00 7.7334e+02 3.3793e+02
1.1556e+00 7.7194e+02 3.3686e+02
1.1597e+00 7.6914e+02 3.3484e+02
1.1638e+00 7.6912e+02 3.3455e+02
1.1679e+00 7.6754e+02 3.3201e+02
1.1719e+00 7.6530e+02 3.3131e+02
1.1760e+00 7.6467e+02 3.2998e+02
1.1801e+00 7.6272e+02 3.2870e+02
1.1842e+00 7.6234e+02 3.2838e+02
1.1883e+00 7.6106e+02 3.2695e+02
1.1924e+00 7.6008e+02 3.2583e+02
1.1965e+00 7.5635e+02 3.2333e+02
1.2006e+00 7.5611e+02 3.2258e+02
1.2047e+00 7.5436e+02 3.2158e+02
1.2088e+00 7.5356e+02 3.2037e+02
1.2129e+00 7.5128e+02 3.1919e+02
1.2169e+00 7.5103e+02 3.1852e+02
1.2210e+00 7.5020e+02 3.1721e+02
1.2251e+00 7.4903e+02 3.1656e+02
1.2292e+00 7.4757e+02 3.1462e+02
1.2333e+00 7.4543e+02 3.1374e+02
1.2374e+00 7.4445e+02 3.1258e+02
1.2415e+00 7.4287e+02 3.1159e+02
1.2456e+00 7.4332e+02 3.1082e+02
1.2497e+00 7.4239e+02 3.1027e+02
1.2538e+00 7.3912e+02 3.0791e+02
1.2579e+00 7.3928e+02 3.0733e+02
1.2619e+00 7.3824e+02 3.0632e+02
1.2660e+00 7.3634e+02 3.0462e+02
1.2701e+00 7.3358e+02 3.0366e+02
1.2742e+00 7.3195e+02 3.0165e+02
1.2783e+00 7.3273e+02 3.0227e+02
1.2824e+00 7.3033e+02 3.0034e+02
1.2865e+00 7.2977e+02 2.9989e+02
1.2906e+00 7.2789e+02 2.9722e+02
1.2947e+00 7.2623e+02 2.9653e+02
1.2988e+00 7.2586e+02 2.9568e+02
1.3029e+00 7.2520e+02 2.9525e+02
1.3069e+00 7.2372e+02 2.9469e+02
1.3110e+00 7.2241e+02 2.9322e+02
1.3151e+00 7.2153e+02 2.9237e+02
1.3192e+00 7.1997e+02 2.9119e+02
1.3233e+00 7.1950e+02 2.8998e+02
1.3274e+00 7.1597e+02 2.8848e+02
1.3315e+00 7.1695e+02 2.8822e+02
1.3356e+00 7.1416e+02 2.8642e+02
1.3397e+00 7.1232e+02 2.8524e+02
1.3438e+00 7.1105e+02 2.8439e+02
1.3479e+00 7.1199e+02 2.8366e+02
1.3519e+00 7.1025e+02 2.8301e+02
1.3560e+00 7.0890e+02 2.8200e+02
1.3601e+00 7.0739e+02 2.8001e+02
1.3642e+00 7.0613e+02 2.7953e+02
1.3683e+00 7.0459e+02 2.7846e+02
1.3724e+00 7.0329e+02 2.7767e+02
1.3765e+00 7.0168e+02 2.7603e+02
1.3806e+00 7.0072e+02 2.7556e+02
1.3847e+00 7.0067e+02 2.7461e+02
1.3888e+00 6.9974e+02 2.7377e+02
1.3928e+00 6.9803e+02 2.7263e+02
1.3969e+00 6.9588e+02 2.7156e+02
1.4010e+00 6.9543e+02 2.7049e+02
1.4051e+00 6.9422e+02 2.6976e+02
1.4092e+00 6.9247e+02 2.6855e+02
1.4133e+00 6.9206e+02 2.6769e+02
1.4174e+00 6.9095e+02 2.6721e+02
1.4215e+00 6.8964e+02 2.6602e+02
1.4256e+00 6.8913e+02 2.6511e+02
1.4297e+00 6.8815e+02 2.6446e+02
1.4338e+00 6.8658e+02 2.6362e+02
1.4378e+00 6.8535e+02 2.6264e+02
1.4419e+00 6.8418e+02 2.6114e+02
1.4460e+00 6.8375e+02 2.6102e+02
1.4501e+00 6.8185e+02 2.5940e+02
1.4542e+00 6.8168e+02 2.5914e+02
1.4583e+00 6.8028e+02 2.5801e+02
1.4624e+00 6.7822e+02 2.5638e+02
1.4665e+00 6.7715e+02 2.5610e+02
1.4706e+00 6.7727e+02 2.5506e+02
1.4747e+00 6.7509e+02 2.5406e+02
1.4787e+00 6.7373e+02 2.5289e+02
1.4828e+00 6.7235e+02 2.5215e+02
1.4869e+00 6.7178e+02 2.5148e+02
1.4910e+00 6.7097e+02 2.5037e+02
1.4951e+00 6.7006e+02 2.5028e+02
1.4992e+00 6.6907e+02 2.4865e+02
1.5033e+00 6.6745e+02 2.4813e+02
1.5074e+00 6.6631e+02 2.4712e+02
1.5115e+00 6.6631e+02 2.4647e+02
1.5156e+00 6.6466e+02 2.4539e+02
1.5197e+00 6.6463e+02 2.4493e+02
1.5237e+00 6.6091e+02 2.4306e+02
1.5278e+00 6.6093e+02 2.4303e+02
1.5319e+00 6.6088e+02 2.4209e+02
1.5360e+00 6.5881e+02 2.4130e+02
1.5401e+00 6.5785e+02 2.4061e+02
1.5442e+00 6.5780e+02 2.4005e+02
1.5483e+00 6.5534e+02 2.3847e+02
1.5524e+00 6.5552e+02 2.3801e+02
1.5565e+00 6.5370e+02 2.3666e+02
1.5606e+00 6.5342e+02 2.3623e+02
1.5646e+00 6.5192e+02 2.3552e+02
1.5687e+00 6.5073e+02 2.3456e+02
1.5728e+00 6.4986e+02 2.3421e+02
1.5769e+00 6.4774e+02 2.3254e+02
1.5810e+00 6.4684e+02 2.3197e+02
1.5851e+00 6.4584e+02 2.3174e+02
1.5892e+00 6.4544e+02 2.3045e+02
1.5933e+00 6.4398e+02 2.2999e+02
1.5974e+00 6.4300e+02 2.2899e+02
1.6015e+00 6.4246e+02 2.2813e+02
1.6056e+00 6.4100e+02 2.2717e+02
1.6096e+00 6.3985e+02 2.2661e+02
1.6137e+00 6.3807e+02 2.2541e+02
1.6178e+00 6.3752e+02 2.2486e+02
1.6219e+00 6.3637e+02 2.2433e+02
1.6260e+00 6.3501e+02 2.2288e+02
1.6301e+00 6.3410e+02 2.2206e+02
1.6342e+00 6.3312e+02 2.2183e+02
1.6383e+00 6.3207e+02 2.2071e+02
1.6424e+00 6.3118e+02 2.2025e+02
1.6465e+00 6.2990e+02 2.1927e+02
1.6506e+00 6.2986e+02 2.1884e+02
1.6546e+00 6.2779e+02 2.1796e+02
1.6587e+00 6.2685e+02 2.1710e+02
1.6628e+00 6.2670e+02 2.1655e+02
1.6669e+00 6.2298e+02 2.1474e+02
1.6710e+00 6.2362e+02 2.1498e+02
1.6751e+00 6.2314e+02 2.1438e+02
1.6792e+00 6.2196e+02 2.1337e+02
1.6833e+00 6.2029e+02 2.1229e+02
1.6874e+00 6.1875e+02 2.1140e+02
1.6915e+00 6.1835e+02 2.1096e+02
1.6955e+00 6.1748e+02 2.1055e+02
1.6996e+00 6.1650e+02 2.0924e+02
1.7037e+00 6.1569e+02 2.0885e+02
1.7078e+00 6.1395e+02 2.0795e+02
1.7119e+00 6.1396e+02 2.0758e+02
1.7160e+00 6.1169e+02 2.0641e+02
1.7201e+00 6.1040e+02 2.0574e+02
1.7242e+00 6.1086e+02 2.0540e+02
1.7283e+00 6.0913e+02 2.0433e+02
1.7324e+00 6.0886e+02 2.0365e+02
1.7365e+00 6.0705e+02 2.0282e+02
1.7405e+00 6.0611e+02 2.0218e+02
1.7446e+00 6.0586e+02 2.0177e+02
1.7487e+00 6.0397e+02 2.0085e+02
1.7528e+00 6.0337e+02 2.0015e+02
1.7569e+00 6.0241e+02 1.9972e+02
1.7610e+00 6.0034e+02 1.9852e+02
1.7651e+00 5.9975e+02 1.9796e+02
1.7692e+00 5.9904e+02 1.9721e+02
1.7733e+00 5.9886e+02 1.9691e+02
1.7774e+00 5.9715e+02 1.9625e+02
1.7815e+00 5.9628e+02 1.9518e+02
1.7855e+00 5.9534e+02 1.9445e+02
1.7896e+00 5.9372e+02 1.9386e+02
1.7937e+00 5.9279e+02 1.9317e+02
1.7978e+00 5.9295e+02 1.9293e+02
1.8019e+00 5.9129e+02 1.9196e+02
1.8060e+00 5.8961e+02 1.9114e+02
