# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 12.50<lgM<13.00, z=2.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    4.72450e-01     3.62094e+03     7.50511e+00     3.31441e+02     8.43218e-01
    4.76540e-01     3.60136e+03     2.90605e+00     3.26892e+02     3.11592e-01
    4.80633e-01     3.58279e+03     6.54863e+00     3.22360e+02     5.55125e-01
    4.84718e-01     3.56600e+03     1.81400e+00     3.18346e+02     5.96108e-01
    4.88794e-01     3.55320e+03     1.85231e+00     3.14734e+02     5.86707e-01
    4.92888e-01     3.54352e+03     4.54356e+00     3.11302e+02     2.71221e-01
    4.96984e-01     3.52292e+03     4.14966e+00     3.08438e+02     4.11074e-01
    5.01073e-01     3.50775e+03     5.71000e+00     3.03810e+02     5.43679e-01
    5.05169e-01     3.49194e+03     3.82613e+00     3.00532e+02     2.90601e-01
    5.09268e-01     3.47645e+03     2.96111e+00     2.96895e+02     2.69459e-01
    5.13369e-01     3.46476e+03     3.99335e+00     2.93363e+02     8.42769e-01
    5.17441e-01     3.45910e+03     2.44698e+00     2.90799e+02     5.38254e-01
    5.21516e-01     3.44008e+03     7.18009e+00     2.87189e+02     6.26187e-01
    5.25611e-01     3.42100e+03     1.99556e+00     2.83402e+02     5.21189e-01
    5.29706e-01     3.41250e+03     2.08356e+00     2.80780e+02     5.54543e-01
    5.33801e-01     3.39797e+03     6.22263e+00     2.77562e+02     5.92772e-01
    5.37888e-01     3.38991e+03     3.30166e+00     2.75417e+02     3.72338e-01
    5.41985e-01     3.37680e+03     2.04647e+00     2.71697e+02     3.19094e-01
    5.46091e-01     3.36095e+03     2.62702e+00     2.68835e+02     4.54341e-01
    5.50174e-01     3.34655e+03     3.14440e+00     2.66083e+02     6.85184e-01
    5.54252e-01     3.34318e+03     2.78429e+00     2.63667e+02     3.89186e-01
    5.58346e-01     3.32252e+03     6.40836e+00     2.59491e+02     5.63343e-01
    5.62439e-01     3.30987e+03     2.64104e+00     2.57602e+02     3.47879e-01
    5.66527e-01     3.29927e+03     5.47338e+00     2.55053e+02     4.52286e-01
    5.70616e-01     3.29760e+03     4.23364e+00     2.53191e+02     6.45772e-01
    5.74707e-01     3.28007e+03     2.22501e+00     2.50489e+02     1.56481e-01
    5.78798e-01     3.27160e+03     2.79467e+00     2.47907e+02     1.83847e-01
    5.82883e-01     3.26073e+03     4.54921e+00     2.45281e+02     3.51034e-01
    5.86977e-01     3.24789e+03     2.14583e+00     2.43056e+02     4.40047e-01
    5.91070e-01     3.23226e+03     6.37116e+00     2.40246e+02     5.88644e-01
    5.95166e-01     3.22845e+03     3.69747e+00     2.38683e+02     5.55154e-01
    5.99260e-01     3.21716e+03     1.85189e+00     2.35921e+02     3.74273e-01
    6.03349e-01     3.20837e+03     3.29169e+00     2.33855e+02     3.64069e-01
    6.07445e-01     3.19967e+03     3.35979e+00     2.32156e+02     4.08148e-01
    6.11543e-01     3.19607e+03     3.00111e+00     2.29852e+02     3.52702e-01
    6.15623e-01     3.17871e+03     2.30441e+00     2.27737e+02     3.06965e-01
    6.19704e-01     3.17317e+03     2.71741e+00     2.25522e+02     4.69545e-01
    6.23792e-01     3.16263e+03     2.63213e+00     2.23840e+02     1.43309e-01
    6.27891e-01     3.14924e+03     5.60004e+00     2.21673e+02     3.50449e-01
    6.31991e-01     3.14579e+03     1.99611e+00     2.19590e+02     3.51306e-01
    6.36073e-01     3.13506e+03     4.67492e+00     2.17044e+02     2.34787e-01
    6.40158e-01     3.12372e+03     2.77381e+00     2.15402e+02     4.40288e-01
    6.44244e-01     3.11367e+03     2.87649e+00     2.13380e+02     1.56962e-01
    6.48338e-01     3.10327e+03     1.88464e+00     2.11716e+02     4.49759e-01
    6.52432e-01     3.09967e+03     2.41343e+00     2.09672e+02     1.93806e-01
    6.56514e-01     3.09001e+03     3.48790e+00     2.08396e+02     2.73528e-01
    6.60609e-01     3.07532e+03     5.17234e+00     2.06149e+02     3.02812e-01
    6.64712e-01     3.07520e+03     3.72642e+00     2.04982e+02     4.30670e-01
    6.68801e-01     3.06841e+03     3.30111e+00     2.03120e+02     3.90608e-01
    6.72890e-01     3.05660e+03     5.33803e+00     2.01431e+02     2.60447e-01
    6.76984e-01     3.04811e+03     2.81748e+00     1.99540e+02     7.66607e-02
    6.81074e-01     3.04253e+03     1.09174e+00     1.98175e+02     2.35842e-01
    6.85160e-01     3.03820e+03     3.05245e+00     1.96704e+02     1.56094e-01
    6.89246e-01     3.02424e+03     1.95118e+00     1.94781e+02     2.41631e-01
    6.93336e-01     3.01724e+03     2.90024e+00     1.93090e+02     1.86148e-01
    6.97434e-01     3.01473e+03     2.76894e+00     1.92114e+02     1.85637e-01
    7.01528e-01     3.00227e+03     1.88297e+00     1.90152e+02     3.14767e-01
    7.05618e-01     2.99578e+03     2.76170e+00     1.88888e+02     3.35735e-01
    7.09708e-01     2.98767e+03     1.73662e+00     1.87285e+02     1.67030e-01
    7.13796e-01     2.98504e+03     3.40154e+00     1.86321e+02     3.84218e-01
    7.17892e-01     2.97238e+03     1.69000e+00     1.84549e+02     2.06371e-01
    7.21982e-01     2.96469e+03     6.87716e-01     1.83082e+02     1.73091e-01
    7.26059e-01     2.96181e+03     2.11682e+00     1.82157e+02     1.66176e-01
    7.30145e-01     2.95289e+03     2.66380e+00     1.80537e+02     1.93669e-01
    7.34240e-01     2.94720e+03     3.27391e+00     1.79277e+02     1.50655e-01
    7.38340e-01     2.93905e+03     4.37568e+00     1.77811e+02     1.94112e-01
    7.42427e-01     2.93153e+03     1.81019e+00     1.76641e+02     2.16028e-01
    7.46511e-01     2.92060e+03     3.61282e+00     1.75195e+02     3.72835e-01
    7.50614e-01     2.91817e+03     1.72631e+00     1.73836e+02     1.54506e-01
    7.54706e-01     2.91151e+03     3.03806e+00     1.72401e+02     2.65708e-01
    7.58795e-01     2.90734e+03     1.84537e+00     1.71716e+02     1.77282e-01
    7.62888e-01     2.89979e+03     2.38701e+00     1.70511e+02     6.38903e-02
    7.66986e-01     2.89257e+03     1.52616e+00     1.68965e+02     2.05761e-01
    7.71073e-01     2.88525e+03     2.54544e+00     1.67752e+02     1.54294e-01
    7.75153e-01     2.88064e+03     8.21449e-01     1.66858e+02     5.81276e-02
    7.79241e-01     2.87455e+03     2.75827e+00     1.65800e+02     2.17662e-01
    7.83335e-01     2.86815e+03     1.69508e+00     1.64356e+02     3.13985e-01
    7.87426e-01     2.86310e+03     2.68344e+00     1.63614e+02     2.59197e-01
    7.91513e-01     2.85226e+03     3.28396e+00     1.62091e+02     1.86400e-01
    7.95606e-01     2.84889e+03     2.74532e+00     1.61202e+02     3.31236e-01
    7.99702e-01     2.84442e+03     2.26042e+00     1.60334e+02     1.19216e-01
    8.03798e-01     2.83727e+03     4.34323e+00     1.58850e+02     3.27660e-01
    8.07879e-01     2.83469e+03     1.09886e+00     1.57957e+02     1.92430e-01
    8.11963e-01     2.82882e+03     2.48355e+00     1.57036e+02     2.22871e-01
    8.16059e-01     2.81951e+03     1.77346e+00     1.55998e+02     9.00960e-02
    8.20152e-01     2.81437e+03     2.97586e+00     1.54844e+02     1.31568e-01
    8.24242e-01     2.80449e+03     3.30580e+00     1.53549e+02     2.21767e-01
    8.28331e-01     2.80539e+03     2.35484e+00     1.53065e+02     1.03212e-01
    8.32425e-01     2.79385e+03     1.25490e+00     1.51591e+02     2.36654e-01
    8.36516e-01     2.79247e+03     1.73785e+00     1.50904e+02     2.76511e-01
    8.40610e-01     2.78459e+03     3.16131e+00     1.49915e+02     9.78310e-02
    8.44704e-01     2.77957e+03     1.25428e+00     1.48761e+02     1.92225e-01
    8.48790e-01     2.77495e+03     2.62611e+00     1.48135e+02     8.35399e-02
    8.52876e-01     2.77103e+03     2.21332e+00     1.47317e+02     1.16567e-01
    8.56967e-01     2.76283e+03     1.54525e+00     1.46180e+02     2.02496e-01
    8.61059e-01     2.75947e+03     1.89695e+00     1.45494e+02     1.60043e-01
    8.65147e-01     2.75329e+03     2.84840e+00     1.44441e+02     1.57781e-01
    8.69235e-01     2.74612e+03     1.15361e+00     1.43629e+02     1.97181e-01
    8.73334e-01     2.74106e+03     2.02893e+00     1.42744e+02     1.85370e-01
    8.77429e-01     2.73871e+03     1.87005e+00     1.41897e+02     1.20542e-01
    8.81512e-01     2.73510e+03     2.35311e+00     1.41499e+02     1.66161e-01
    8.85601e-01     2.72855e+03     1.84274e+00     1.40317e+02     2.55358e-01
    8.89691e-01     2.72213e+03     1.15519e+00     1.39299e+02     5.79911e-02
    8.93784e-01     2.71776e+03     1.93286e+00     1.38648e+02     2.38903e-01
    8.97875e-01     2.71478e+03     2.64365e+00     1.37754e+02     1.65029e-01
    9.01960e-01     2.70611e+03     1.71512e+00     1.36784e+02     1.90856e-01
    9.06054e-01     2.70152e+03     1.62296e+00     1.36076e+02     1.47124e-01
    9.10146e-01     2.69782e+03     1.73870e+00     1.35440e+02     1.41041e-01
    9.14237e-01     2.68807e+03     1.86967e+00     1.34247e+02     1.07371e-01
    9.18331e-01     2.68494e+03     2.03720e+00     1.33715e+02     1.42929e-01
    9.22421e-01     2.68155e+03     1.24315e+00     1.32949e+02     1.49100e-01
    9.26509e-01     2.67832e+03     2.74388e+00     1.32522e+02     1.16935e-01
    9.30598e-01     2.67348e+03     2.28880e+00     1.31465e+02     1.26975e-01
    9.34692e-01     2.67101e+03     2.34569e+00     1.31056e+02     1.65965e-01
    9.38787e-01     2.66461e+03     1.55878e+00     1.30079e+02     1.55334e-01
    9.42873e-01     2.65335e+03     2.48566e+00     1.29266e+02     1.42331e-01
    9.46961e-01     2.65200e+03     1.78265e+00     1.28628e+02     3.20214e-02
    9.51054e-01     2.64689e+03     1.29336e+00     1.27790e+02     1.33243e-01
    9.55150e-01     2.64445e+03     1.01900e+00     1.27260e+02     1.79460e-01
    9.59240e-01     2.64229e+03     1.06894e+00     1.26697e+02     1.75212e-01
    9.63327e-01     2.63238e+03     1.95708e+00     1.25870e+02     1.60011e-01
    9.67420e-01     2.62950e+03     1.84192e+00     1.25113e+02     1.08435e-01
    9.71506e-01     2.62656e+03     2.32369e+00     1.24602e+02     1.34424e-01
    9.75588e-01     2.62156e+03     1.10596e+00     1.23954e+02     1.04532e-01
    9.79678e-01     2.61602e+03     1.78786e+00     1.23273e+02     1.60470e-01
    9.83773e-01     2.60954e+03     2.36668e+00     1.22407e+02     1.55382e-01
    9.87866e-01     2.60710e+03     1.04077e+00     1.21910e+02     1.18232e-01
    9.91960e-01     2.60140e+03     1.80179e+00     1.21108e+02     1.86090e-01
    9.96055e-01     2.60114e+03     1.29982e+00     1.20812e+02     1.26058e-01
    1.00015e+00     2.59445e+03     1.19224e+00     1.19854e+02     1.16945e-01
    1.00424e+00     2.58879e+03     1.38507e+00     1.19414e+02     1.20015e-01
    1.00832e+00     2.58491e+03     2.33722e+00     1.18750e+02     1.07177e-01
    1.01242e+00     2.58128e+03     1.82962e+00     1.18155e+02     1.08057e-01
    1.01651e+00     2.57897e+03     2.18429e+00     1.17600e+02     1.42192e-01
    1.02059e+00     2.57103e+03     2.19866e+00     1.16782e+02     1.32994e-01
    1.02468e+00     2.57009e+03     1.66156e+00     1.16343e+02     1.17002e-01
    1.02878e+00     2.56336e+03     1.02010e+00     1.15797e+02     1.81226e-01
    1.03287e+00     2.55822e+03     2.01382e+00     1.15151e+02     5.06331e-02
    1.03695e+00     2.55132e+03     2.71663e+00     1.14540e+02     1.10783e-01
    1.04105e+00     2.54906e+03     1.96427e+00     1.13937e+02     1.27604e-01
    1.04515e+00     2.54830e+03     1.25382e+00     1.13488e+02     9.90225e-02
    1.04923e+00     2.54217e+03     1.52262e+00     1.13012e+02     4.39279e-02
    1.05332e+00     2.53625e+03     1.66116e+00     1.12490e+02     5.97718e-02
    1.05741e+00     2.53193e+03     1.79992e+00     1.11718e+02     9.71819e-02
    1.06150e+00     2.52973e+03     4.86320e-01     1.11438e+02     1.24458e-01
    1.06559e+00     2.52649e+03     9.05126e-01     1.10790e+02     8.55980e-02
    1.06968e+00     2.52387e+03     7.24259e-01     1.10326e+02     3.57811e-02
    1.07377e+00     2.51883e+03     1.28617e+00     1.09875e+02     7.34669e-02
    1.07786e+00     2.51271e+03     1.84262e+00     1.09182e+02     1.07876e-01
    1.08195e+00     2.51105e+03     1.91106e+00     1.08769e+02     1.54425e-01
    1.08605e+00     2.50441e+03     1.02698e+00     1.08236e+02     5.56657e-02
    1.09014e+00     2.50304e+03     1.93731e+00     1.07636e+02     1.34677e-01
    1.09422e+00     2.49976e+03     1.97298e+00     1.07470e+02     9.04156e-02
    1.09832e+00     2.49235e+03     6.48571e-01     1.06652e+02     4.44105e-02
    1.10242e+00     2.48957e+03     1.67586e+00     1.06059e+02     7.22239e-02
    1.10650e+00     2.48604e+03     1.53968e+00     1.05665e+02     4.95019e-02
    1.11059e+00     2.48287e+03     1.59819e+00     1.05070e+02     1.57759e-01
    1.11468e+00     2.47934e+03     1.87309e+00     1.04813e+02     7.74805e-02
    1.11878e+00     2.47520e+03     1.92987e+00     1.04271e+02     1.37725e-01
    1.12287e+00     2.47094e+03     1.25989e+00     1.03893e+02     5.49965e-02
    1.12695e+00     2.46621e+03     1.58317e+00     1.03316e+02     6.66245e-02
    1.13105e+00     2.46366e+03     1.69345e+00     1.02974e+02     9.16439e-02
    1.13514e+00     2.45918e+03     9.47443e-01     1.02409e+02     9.95850e-02
    1.13922e+00     2.45466e+03     1.63455e+00     1.01921e+02     5.12568e-02
    1.14331e+00     2.45032e+03     1.97254e+00     1.01467e+02     1.10951e-01
    1.14741e+00     2.44729e+03     7.30742e-01     1.01045e+02     1.10382e-01
    1.15150e+00     2.44157e+03     8.68390e-01     1.00614e+02     1.22116e-01
    1.15559e+00     2.43779e+03     1.92659e+00     1.00025e+02     9.51110e-02
    1.15968e+00     2.43598e+03     1.18669e+00     9.97523e+01     8.33886e-02
    1.16377e+00     2.43180e+03     1.22837e+00     9.92088e+01     9.10739e-02
    1.16786e+00     2.42894e+03     1.82423e+00     9.88482e+01     1.00201e-01
    1.17195e+00     2.42445e+03     8.15390e-01     9.83672e+01     6.60437e-02
    1.17604e+00     2.42002e+03     2.32340e+00     9.78958e+01     8.20855e-02
    1.18013e+00     2.41617e+03     6.02414e-01     9.75741e+01     8.26829e-02
    1.18422e+00     2.41425e+03     5.67281e-01     9.71075e+01     8.07317e-02
    1.18831e+00     2.40965e+03     1.35431e+00     9.67479e+01     5.25584e-02
    1.19240e+00     2.40598e+03     1.82883e+00     9.63274e+01     1.45775e-01
    1.19649e+00     2.40151e+03     1.17841e+00     9.59597e+01     6.74136e-02
    1.20059e+00     2.39818e+03     1.39373e+00     9.54344e+01     1.18443e-01
    1.20468e+00     2.39318e+03     1.71962e+00     9.50272e+01     7.95049e-02
    1.20877e+00     2.39076e+03     1.31944e+00     9.45832e+01     8.01274e-02
    1.21286e+00     2.38477e+03     8.98489e-01     9.41482e+01     6.87977e-02
    1.21695e+00     2.38548e+03     1.72280e+00     9.40012e+01     7.63179e-02
    1.22104e+00     2.38171e+03     7.54236e-01     9.35859e+01     8.08944e-02
    1.22513e+00     2.37832e+03     1.47577e+00     9.32286e+01     5.69511e-02
    1.22922e+00     2.37365e+03     1.05485e+00     9.27839e+01     7.33155e-02
    1.23330e+00     2.36998e+03     8.18568e-01     9.23238e+01     3.66892e-02
    1.23740e+00     2.36607e+03     1.42237e+00     9.19953e+01     4.28921e-02
    1.24149e+00     2.36261e+03     1.11861e+00     9.15828e+01     9.12947e-02
    1.24558e+00     2.35850e+03     1.54505e+00     9.12578e+01     9.87421e-02
    1.24967e+00     2.35581e+03     1.38139e+00     9.08332e+01     3.02336e-02
    1.25376e+00     2.35105e+03     1.49634e+00     9.03857e+01     3.06165e-02
    1.25785e+00     2.34963e+03     1.15818e+00     9.02379e+01     6.84525e-02
    1.26194e+00     2.34242e+03     1.29036e+00     8.96561e+01     9.53164e-02
    1.26603e+00     2.34175e+03     1.67455e+00     8.93526e+01     7.31317e-02
    1.27012e+00     2.33751e+03     1.20087e+00     8.91134e+01     6.16998e-02
    1.27422e+00     2.33455e+03     1.10159e+00     8.86481e+01     9.41210e-02
    1.27831e+00     2.33205e+03     1.74123e+00     8.83509e+01     6.36081e-02
    1.28240e+00     2.32769e+03     1.71783e+00     8.80397e+01     6.12046e-02
    1.28649e+00     2.32454e+03     1.03558e+00     8.75985e+01     5.82786e-02
    1.29058e+00     2.32037e+03     1.11477e+00     8.72554e+01     9.13702e-02
    1.29467e+00     2.31532e+03     9.96949e-01     8.68462e+01     6.01088e-02
    1.29876e+00     2.31384e+03     1.63251e+00     8.65326e+01     6.52367e-02
    1.30285e+00     2.30751e+03     1.36873e+00     8.61127e+01     8.95978e-02
    1.30694e+00     2.30736e+03     2.06450e+00     8.60284e+01     5.85860e-02
    1.31103e+00     2.30227e+03     1.31863e+00     8.55072e+01     1.00135e-01
