# Real space h-h auto- and h-m cross-spectra.
# z=0.500, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    1.02878e+00     1.07675e+03     1.18421e+02
    1.03287e+00     1.07651e+03     1.17630e+02
    1.03695e+00     1.07389e+03     1.18047e+02
    1.04105e+00     1.07388e+03     1.16368e+02
    1.04515e+00     1.07308e+03     1.16129e+02
    1.04923e+00     1.07042e+03     1.15300e+02
    1.05332e+00     1.06691e+03     1.15575e+02
    1.05741e+00     1.06762e+03     1.14237e+02
    1.06150e+00     1.06510e+03     1.13716e+02
    1.06559e+00     1.06067e+03     1.13268e+02
    1.06968e+00     1.06067e+03     1.12637e+02
    1.07377e+00     1.06070e+03     1.12461e+02
    1.07786e+00     1.05670e+03     1.11335e+02
    1.08195e+00     1.05682e+03     1.10737e+02
    1.08605e+00     1.05423e+03     1.10482e+02
    1.09014e+00     1.05294e+03     1.09413e+02
    1.09422e+00     1.05075e+03     1.09676e+02
    1.09832e+00     1.04840e+03     1.08248e+02
    1.10242e+00     1.04839e+03     1.07400e+02
    1.10650e+00     1.04764e+03     1.07143e+02
    1.11059e+00     1.04666e+03     1.07089e+02
    1.11468e+00     1.04401e+03     1.06752e+02
    1.11878e+00     1.04204e+03     1.05843e+02
    1.12287e+00     1.04158e+03     1.06274e+02
    1.12695e+00     1.04046e+03     1.05198e+02
    1.13105e+00     1.03901e+03     1.04828e+02
    1.13514e+00     1.03600e+03     1.04547e+02
    1.13922e+00     1.03545e+03     1.03062e+02
    1.14331e+00     1.03180e+03     1.02744e+02
    1.14741e+00     1.03086e+03     1.02804e+02
    1.15150e+00     1.02859e+03     1.02085e+02
    1.15559e+00     1.02944e+03     1.02033e+02
    1.15968e+00     1.02630e+03     1.01485e+02
    1.16377e+00     1.02332e+03     1.00300e+02
    1.16786e+00     1.02395e+03     1.00088e+02
    1.17195e+00     1.02263e+03     9.99635e+01
    1.17604e+00     1.01772e+03     9.88685e+01
    1.18013e+00     1.01846e+03     9.89071e+01
    1.18422e+00     1.01750e+03     9.85028e+01
    1.18831e+00     1.01602e+03     9.81332e+01
    1.19240e+00     1.01394e+03     9.75017e+01
    1.19649e+00     1.01044e+03     9.71550e+01
    1.20059e+00     1.00797e+03     9.60075e+01
    1.20468e+00     1.00947e+03     9.63978e+01
    1.20877e+00     1.00829e+03     9.56544e+01
    1.21286e+00     1.00789e+03     9.50639e+01
    1.21695e+00     1.00531e+03     9.53493e+01
    1.22104e+00     1.00202e+03     9.41326e+01
    1.22513e+00     1.00117e+03     9.39835e+01
    1.22922e+00     1.00047e+03     9.34908e+01
    1.23330e+00     1.00179e+03     9.38230e+01
    1.23740e+00     9.99254e+02     9.31584e+01
    1.24149e+00     9.97894e+02     9.33234e+01
    1.24558e+00     9.93069e+02     9.15072e+01
    1.24967e+00     9.92027e+02     9.17327e+01
    1.25376e+00     9.91835e+02     9.08149e+01
    1.25785e+00     9.90829e+02     9.06946e+01
    1.26194e+00     9.91176e+02     9.06628e+01
    1.26603e+00     9.87138e+02     9.05958e+01
    1.27012e+00     9.86425e+02     9.02573e+01
    1.27422e+00     9.84366e+02     8.93406e+01
    1.27831e+00     9.83295e+02     8.93164e+01
    1.28240e+00     9.81929e+02     8.93293e+01
    1.28649e+00     9.78716e+02     8.82521e+01
    1.29058e+00     9.79857e+02     8.86765e+01
    1.29467e+00     9.75371e+02     8.72762e+01
    1.29876e+00     9.75599e+02     8.71796e+01
    1.30285e+00     9.75828e+02     8.68078e+01
    1.30694e+00     9.70626e+02     8.65945e+01
    1.31103e+00     9.72519e+02     8.64129e+01
    1.31512e+00     9.71269e+02     8.64044e+01
    1.31921e+00     9.68984e+02     8.53642e+01
    1.32331e+00     9.67591e+02     8.55385e+01
    1.32739e+00     9.66943e+02     8.51319e+01
    1.33148e+00     9.62427e+02     8.46724e+01
    1.33558e+00     9.64322e+02     8.44570e+01
    1.33967e+00     9.60721e+02     8.41987e+01
    1.34376e+00     9.59685e+02     8.35643e+01
    1.34785e+00     9.59376e+02     8.31513e+01
    1.35195e+00     9.56657e+02     8.33882e+01
    1.35603e+00     9.57494e+02     8.23301e+01
    1.36011e+00     9.53760e+02     8.23926e+01
    1.36421e+00     9.54577e+02     8.22788e+01
    1.36830e+00     9.53658e+02     8.21963e+01
    1.37239e+00     9.52560e+02     8.17217e+01
    1.37648e+00     9.50086e+02     8.11454e+01
    1.38057e+00     9.48288e+02     8.08207e+01
    1.38466e+00     9.46210e+02     8.06892e+01
    1.38875e+00     9.46586e+02     8.05274e+01
    1.39285e+00     9.43864e+02     8.03224e+01
    1.39694e+00     9.40976e+02     7.91366e+01
    1.40102e+00     9.42446e+02     7.95140e+01
    1.40512e+00     9.42589e+02     7.87869e+01
    1.40921e+00     9.38180e+02     7.87317e+01
    1.41330e+00     9.36993e+02     7.82402e+01
    1.41739e+00     9.36486e+02     7.81404e+01
    1.42148e+00     9.34441e+02     7.79763e+01
    1.42557e+00     9.35397e+02     7.83898e+01
    1.42966e+00     9.31318e+02     7.71959e+01
    1.43375e+00     9.30507e+02     7.70034e+01
    1.43784e+00     9.30751e+02     7.70142e+01
    1.44193e+00     9.27495e+02     7.67966e+01
    1.44602e+00     9.28106e+02     7.63125e+01
    1.45011e+00     9.25723e+02     7.56112e+01
    1.45420e+00     9.24034e+02     7.62969e+01
    1.45830e+00     9.23008e+02     7.60669e+01
    1.46239e+00     9.21682e+02     7.55225e+01
    1.46648e+00     9.20193e+02     7.50897e+01
    1.47056e+00     9.18519e+02     7.50056e+01
    1.47465e+00     9.17237e+02     7.44696e+01
    1.47874e+00     9.16866e+02     7.44504e+01
    1.48283e+00     9.12755e+02     7.36824e+01
    1.48693e+00     9.13519e+02     7.39738e+01
    1.49102e+00     9.11953e+02     7.34704e+01
    1.49511e+00     9.10313e+02     7.32932e+01
    1.49920e+00     9.08790e+02     7.31883e+01
    1.50329e+00     9.06861e+02     7.28956e+01
    1.50738e+00     9.06543e+02     7.21927e+01
    1.51148e+00     9.04083e+02     7.23211e+01
    1.51557e+00     9.04751e+02     7.22725e+01
    1.51965e+00     9.03634e+02     7.20244e+01
    1.52374e+00     9.02797e+02     7.16351e+01
    1.52784e+00     8.98244e+02     7.12909e+01
    1.53193e+00     8.99291e+02     7.08877e+01
    1.53602e+00     8.97309e+02     7.10028e+01
    1.54011e+00     8.95169e+02     7.07348e+01
    1.54420e+00     8.95326e+02     7.03432e+01
    1.54829e+00     8.94502e+02     7.04001e+01
    1.55238e+00     8.91277e+02     6.96832e+01
    1.55647e+00     8.92042e+02     6.94723e+01
    1.56056e+00     8.90251e+02     6.94672e+01
    1.56465e+00     8.87710e+02     6.90287e+01
    1.56874e+00     8.86253e+02     6.87734e+01
    1.57283e+00     8.86500e+02     6.86938e+01
    1.57693e+00     8.84552e+02     6.86275e+01
    1.58102e+00     8.83274e+02     6.83175e+01
    1.58510e+00     8.82078e+02     6.78784e+01
    1.58919e+00     8.80410e+02     6.77919e+01
    1.59329e+00     8.78914e+02     6.78157e+01
    1.59738e+00     8.77996e+02     6.75557e+01
    1.60147e+00     8.76910e+02     6.72509e+01
    1.60556e+00     8.76166e+02     6.71772e+01
    1.60965e+00     8.74880e+02     6.68239e+01
    1.61374e+00     8.75000e+02     6.70613e+01
    1.61783e+00     8.70410e+02     6.62323e+01
    1.62192e+00     8.70737e+02     6.63113e+01
    1.62601e+00     8.68008e+02     6.60241e+01
    1.63010e+00     8.67244e+02     6.57749e+01
    1.63419e+00     8.66852e+02     6.58194e+01
    1.63828e+00     8.63598e+02     6.53614e+01
    1.64238e+00     8.64009e+02     6.50573e+01
    1.64647e+00     8.62656e+02     6.49277e+01
    1.65055e+00     8.61521e+02     6.47587e+01
    1.65465e+00     8.59355e+02     6.43616e+01
    1.65874e+00     8.59496e+02     6.44724e+01
    1.66283e+00     8.58495e+02     6.42259e+01
    1.66691e+00     8.56704e+02     6.39191e+01
    1.67101e+00     8.54411e+02     6.37100e+01
    1.67510e+00     8.53536e+02     6.35131e+01
    1.67919e+00     8.51022e+02     6.33451e+01
    1.68328e+00     8.51876e+02     6.33354e+01
    1.68737e+00     8.50040e+02     6.30269e+01
    1.69146e+00     8.48235e+02     6.26671e+01
    1.69555e+00     8.48999e+02     6.28878e+01
    1.69964e+00     8.47983e+02     6.23234e+01
