# Real space auto- and cross-spectra.
# z=3.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    7.58795e-01     1.66796e+03     9.37282e+01     1.72065e+01
    7.62888e-01     1.66611e+03     9.33051e+01     1.70677e+01
    7.66986e-01     1.66752e+03     9.25185e+01     1.68469e+01
    7.71073e-01     1.65989e+03     9.13393e+01     1.66992e+01
    7.75153e-01     1.65038e+03     9.06084e+01     1.65348e+01
    7.79241e-01     1.64642e+03     8.98205e+01     1.63443e+01
    7.83335e-01     1.65013e+03     8.91877e+01     1.61487e+01
    7.87426e-01     1.64061e+03     8.85758e+01     1.60581e+01
    7.91513e-01     1.63238e+03     8.72801e+01     1.58033e+01
    7.95606e-01     1.63808e+03     8.71863e+01     1.56873e+01
    7.99702e-01     1.62969e+03     8.64583e+01     1.55523e+01
    8.03798e-01     1.62600e+03     8.60386e+01     1.54318e+01
    8.07879e-01     1.61936e+03     8.52725e+01     1.52756e+01
    8.11963e-01     1.61151e+03     8.42577e+01     1.50727e+01
    8.16059e-01     1.61208e+03     8.38996e+01     1.49720e+01
    8.20152e-01     1.60058e+03     8.30761e+01     1.48577e+01
    8.24242e-01     1.59409e+03     8.24786e+01     1.46898e+01
    8.28331e-01     1.59746e+03     8.19096e+01     1.45510e+01
    8.32425e-01     1.59300e+03     8.11754e+01     1.44295e+01
    8.36516e-01     1.59208e+03     8.06771e+01     1.42942e+01
    8.40610e-01     1.58531e+03     8.02983e+01     1.41629e+01
    8.44704e-01     1.58520e+03     7.97189e+01     1.40638e+01
    8.48790e-01     1.57593e+03     7.90564e+01     1.39172e+01
    8.52876e-01     1.57230e+03     7.83222e+01     1.37572e+01
    8.56967e-01     1.57332e+03     7.77794e+01     1.36488e+01
    8.61059e-01     1.56305e+03     7.73989e+01     1.35386e+01
    8.65147e-01     1.56064e+03     7.64490e+01     1.33602e+01
    8.69235e-01     1.56282e+03     7.64183e+01     1.33126e+01
    8.73334e-01     1.55497e+03     7.54935e+01     1.31749e+01
    8.77429e-01     1.55200e+03     7.53038e+01     1.30967e+01
    8.81512e-01     1.55015e+03     7.50157e+01     1.29770e+01
    8.85601e-01     1.54216e+03     7.40301e+01     1.28532e+01
    8.89691e-01     1.53994e+03     7.36890e+01     1.27176e+01
    8.93784e-01     1.53562e+03     7.30279e+01     1.26241e+01
