# k, phh, phm/ 
1.2374e+00 6.6086e+02 2.9690e+02
1.2415e+00 6.6049e+02 2.9577e+02
1.2456e+00 6.5911e+02 2.9501e+02
1.2497e+00 6.5724e+02 2.9359e+02
1.2538e+00 6.5804e+02 2.9336e+02
1.2579e+00 6.5589e+02 2.9175e+02
1.2619e+00 6.5438e+02 2.9087e+02
1.2660e+00 6.5354e+02 2.8956e+02
1.2701e+00 6.5203e+02 2.8853e+02
1.2742e+00 6.5174e+02 2.8740e+02
1.2783e+00 6.4938e+02 2.8573e+02
1.2824e+00 6.4959e+02 2.8528e+02
1.2865e+00 6.4899e+02 2.8475e+02
1.2906e+00 6.4611e+02 2.8268e+02
1.2947e+00 6.4645e+02 2.8280e+02
1.2988e+00 6.4230e+02 2.8018e+02
1.3029e+00 6.4298e+02 2.7969e+02
1.3069e+00 6.4153e+02 2.7821e+02
1.3110e+00 6.4250e+02 2.7850e+02
1.3151e+00 6.3942e+02 2.7649e+02
1.3192e+00 6.3894e+02 2.7571e+02
1.3233e+00 6.3765e+02 2.7477e+02
1.3274e+00 6.3762e+02 2.7420e+02
1.3315e+00 6.3477e+02 2.7252e+02
1.3356e+00 6.3406e+02 2.7158e+02
1.3397e+00 6.3325e+02 2.7087e+02
1.3438e+00 6.3130e+02 2.6922e+02
1.3479e+00 6.2911e+02 2.6848e+02
1.3519e+00 6.3009e+02 2.6816e+02
1.3560e+00 6.2865e+02 2.6725e+02
1.3601e+00 6.2663e+02 2.6565e+02
1.3642e+00 6.2622e+02 2.6464e+02
1.3683e+00 6.2515e+02 2.6381e+02
1.3724e+00 6.2552e+02 2.6351e+02
1.3765e+00 6.2317e+02 2.6180e+02
1.3806e+00 6.2273e+02 2.6085e+02
1.3847e+00 6.2077e+02 2.5952e+02
1.3888e+00 6.1867e+02 2.5830e+02
1.3928e+00 6.1798e+02 2.5738e+02
1.3969e+00 6.1607e+02 2.5619e+02
1.4010e+00 6.1744e+02 2.5645e+02
1.4051e+00 6.1572e+02 2.5507e+02
1.4092e+00 6.1537e+02 2.5496e+02
1.4133e+00 6.1415e+02 2.5373e+02
1.4174e+00 6.1385e+02 2.5271e+02
1.4215e+00 6.1085e+02 2.5102e+02
1.4256e+00 6.1082e+02 2.5069e+02
1.4297e+00 6.0948e+02 2.4950e+02
1.4338e+00 6.0875e+02 2.4867e+02
1.4378e+00 6.0794e+02 2.4824e+02
1.4419e+00 6.0641e+02 2.4706e+02
1.4460e+00 6.0539e+02 2.4604e+02
1.4501e+00 6.0355e+02 2.4484e+02
1.4542e+00 6.0406e+02 2.4442e+02
1.4583e+00 6.0180e+02 2.4315e+02
1.4624e+00 6.0087e+02 2.4222e+02
1.4665e+00 6.0065e+02 2.4232e+02
1.4706e+00 5.9772e+02 2.3999e+02
1.4747e+00 5.9778e+02 2.3983e+02
1.4787e+00 5.9698e+02 2.3906e+02
1.4828e+00 5.9545e+02 2.3762e+02
1.4869e+00 5.9431e+02 2.3700e+02
1.4910e+00 5.9470e+02 2.3665e+02
1.4951e+00 5.9287e+02 2.3517e+02
1.4992e+00 5.9220e+02 2.3479e+02
1.5033e+00 5.9012e+02 2.3316e+02
1.5074e+00 5.8980e+02 2.3241e+02
1.5115e+00 5.8881e+02 2.3199e+02
1.5156e+00 5.8699e+02 2.3095e+02
1.5197e+00 5.8736e+02 2.3041e+02
1.5237e+00 5.8531e+02 2.2913e+02
1.5278e+00 5.8580e+02 2.2887e+02
1.5319e+00 5.8321e+02 2.2750e+02
1.5360e+00 5.8302e+02 2.2680e+02
1.5401e+00 5.8245e+02 2.2602e+02
1.5442e+00 5.8109e+02 2.2539e+02
1.5483e+00 5.8002e+02 2.2448e+02
1.5524e+00 5.7834e+02 2.2346e+02
1.5565e+00 5.7889e+02 2.2298e+02
1.5606e+00 5.7603e+02 2.2190e+02
1.5646e+00 5.7603e+02 2.2116e+02
1.5687e+00 5.7489e+02 2.2052e+02
1.5728e+00 5.7366e+02 2.1956e+02
1.5769e+00 5.7332e+02 2.1864e+02
1.5810e+00 5.7260e+02 2.1826e+02
1.5851e+00 5.7036e+02 2.1705e+02
1.5892e+00 5.6979e+02 2.1617e+02
1.5933e+00 5.7019e+02 2.1607e+02
1.5974e+00 5.6771e+02 2.1485e+02
1.6015e+00 5.6722e+02 2.1349e+02
1.6056e+00 5.6640e+02 2.1321e+02
1.6096e+00 5.6542e+02 2.1259e+02
1.6137e+00 5.6522e+02 2.1190e+02
1.6178e+00 5.6384e+02 2.1125e+02
1.6219e+00 5.6256e+02 2.1026e+02
1.6260e+00 5.6106e+02 2.0905e+02
1.6301e+00 5.6057e+02 2.0877e+02
1.6342e+00 5.5978e+02 2.0810e+02
1.6383e+00 5.5808e+02 2.0702e+02
1.6424e+00 5.5788e+02 2.0635e+02
1.6465e+00 5.5713e+02 2.0551e+02
1.6506e+00 5.5558e+02 2.0481e+02
1.6546e+00 5.5525e+02 2.0440e+02
1.6587e+00 5.5322e+02 2.0301e+02
1.6628e+00 5.5290e+02 2.0226e+02
1.6669e+00 5.5268e+02 2.0224e+02
1.6710e+00 5.5150e+02 2.0127e+02
1.6751e+00 5.5061e+02 2.0052e+02
1.6792e+00 5.4946e+02 1.9993e+02
1.6833e+00 5.4814e+02 1.9899e+02
1.6874e+00 5.4755e+02 1.9837e+02
1.6915e+00 5.4594e+02 1.9747e+02
1.6955e+00 5.4534e+02 1.9656e+02
1.6996e+00 5.4505e+02 1.9617e+02
1.7037e+00 5.4444e+02 1.9583e+02
1.7078e+00 5.4339e+02 1.9514e+02
1.7119e+00 5.4184e+02 1.9394e+02
1.7160e+00 5.4049e+02 1.9331e+02
1.7201e+00 5.4041e+02 1.9281e+02
1.7242e+00 5.3870e+02 1.9162e+02
1.7283e+00 5.3776e+02 1.9113e+02
1.7324e+00 5.3767e+02 1.9064e+02
1.7365e+00 5.3662e+02 1.8995e+02
1.7405e+00 5.3642e+02 1.8932e+02
1.7446e+00 5.3477e+02 1.8849e+02
1.7487e+00 5.3424e+02 1.8792e+02
1.7528e+00 5.3260e+02 1.8693e+02
1.7569e+00 5.3167e+02 1.8632e+02
1.7610e+00 5.3142e+02 1.8582e+02
1.7651e+00 5.3024e+02 1.8509e+02
1.7692e+00 5.2892e+02 1.8441e+02
1.7733e+00 5.2804e+02 1.8358e+02
1.7774e+00 5.2783e+02 1.8331e+02
1.7815e+00 5.2657e+02 1.8236e+02
1.7855e+00 5.2558e+02 1.8155e+02
1.7896e+00 5.2437e+02 1.8082e+02
1.7937e+00 5.2360e+02 1.8047e+02
1.7978e+00 5.2219e+02 1.7929e+02
1.8019e+00 5.2270e+02 1.7946e+02
1.8060e+00 5.2148e+02 1.7875e+02
1.8101e+00 5.2070e+02 1.7818e+02
1.8142e+00 5.1967e+02 1.7725e+02
1.8183e+00 5.1790e+02 1.7657e+02
1.8224e+00 5.1738e+02 1.7573e+02
1.8265e+00 5.1633e+02 1.7514e+02
1.8305e+00 5.1567e+02 1.7453e+02
1.8346e+00 5.1470e+02 1.7400e+02
1.8387e+00 5.1335e+02 1.7303e+02
1.8428e+00 5.1272e+02 1.7259e+02
1.8469e+00 5.1225e+02 1.7232e+02
1.8510e+00 5.1115e+02 1.7163e+02
1.8551e+00 5.1053e+02 1.7063e+02
1.8592e+00 5.0832e+02 1.6974e+02
1.8633e+00 5.0785e+02 1.6925e+02
1.8674e+00 5.0820e+02 1.6917e+02
1.8715e+00 5.0635e+02 1.6825e+02
1.8755e+00 5.0539e+02 1.6762e+02
1.8796e+00 5.0524e+02 1.6719e+02
1.8837e+00 5.0415e+02 1.6651e+02
1.8878e+00 5.0301e+02 1.6587e+02
1.8919e+00 5.0247e+02 1.6535e+02
1.8960e+00 5.0145e+02 1.6479e+02
1.9001e+00 5.0088e+02 1.6413e+02
1.9042e+00 4.9973e+02 1.6364e+02
1.9083e+00 4.9942e+02 1.6303e+02
